league,sport_key,event_id,commence_time_utc,commence_time_local,commence_local_str,home_team,away_team,home_ml_best,away_ml_best,home_ml_prob_devig_med,away_ml_prob_devig_med,spread_home_point,spread_home_price_best,spread_away_point,spread_away_price_best,total_points,total_over_price_best,total_under_price_best,home_wins,home_losses,home_ties,home_winPercent,home_streak,home_pointsFor,home_pointsAgainst,home_ppg,home_opp_ppg,home_avg_diff,away_wins,away_losses,away_ties,away_winPercent,away_streak,away_pointsFor,away_pointsAgainst,away_ppg,away_opp_ppg,away_avg_diff
NFL,americanfootball_nfl,aa9d0cf732b6adde4ad3ec04ca79825c,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,Dallas Cowboys,Los Angeles Chargers,-122.0,115.0,0.5369611539091952,0.46303884609080476,-1.0,-113.0,1.0,102.0,49.5,-107.0,-105.0,6.0,7.0,1.0,0.4642857,-2.0,407.0,420.0,,,-13.0,10.0,4.0,,0.71428573,3.0,315.0,284.0,,,31.0
NFL,americanfootball_nfl,0cce34b9a49c4c6bdc1e65449e37a0f9,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,Tennessee Titans,Kansas City Chiefs,164.0,-180.0,0.37889039242219213,0.6211096075778079,3.5,-114.0,-3.5,103.0,37.5,-107.0,-107.0,2.0,12.0,,0.14285715,-1.0,225.0,394.0,,,-169.0,6.0,8.0,,0.42857143,-3.0,328.0,268.0,,,60.0
NFL,americanfootball_nfl,3db6ba91d2a72ada8843d5a0517bff27,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,New York Giants,Minnesota Vikings,130.0,-145.0,0.42720797057591137,0.5727920294240887,3.0,-110.0,-3.0,105.0,43.5,-107.0,-105.0,2.0,12.0,,0.14285715,-8.0,300.0,396.0,,,-96.0,6.0,8.0,,0.42857143,2.0,289.0,307.0,,,-18.0
NFL,americanfootball_nfl,aa5b25e85d1ad6540d7a5ae04b73ddfd,2025-12-21T18:00:00+00:00,2025-12-21T12:00:00-06:00,Sun Dec 21 • 12:00 PM,New Orleans Saints,New York Jets,-210.0,186.0,0.6581196581196581,0.3418803418803419,-4.5,-105.0,4.5,-105.0,40.5,-108.0,-105.0,4.0,10.0,,0.2857143,2.0,226.0,332.0,,,-106.0,3.0,11.0,,0.21428572,-2.0,276.0,397.0,,,-121.0
NFL,americanfootball_nfl,7d71a0d3cc2a04eb35f1a725104217b5,2025-12-21T21:05:00+00:00,2025-12-21T15:05:00-06:00,Sun Dec 21 • 03:05 PM,Arizona Cardinals,Atlanta Falcons,130.0,-140.0,0.4212299915754002,0.5787700084245998,2.5,101.0,-2.5,-110.0,48.0,-104.0,-110.0,3.0,11.0,,0.21428572,-6.0,302.0,388.0,,,-86.0,5.0,9.0,,0.35714287,1.0,281.0,341.0,,,-60.0
NFL,americanfootball_nfl,93c002f0a42d1b57f3bbabdcfe24ab97,2025-12-21T21:05:00+00:00,2025-12-21T15:05:00-06:00,Sun Dec 21 • 03:05 PM,Denver Broncos,Jacksonville Jaguars,-160.0,150.0,0.6010838476591901,0.39891615234080985,-3.0,-110.0,3.0,100.0,45.5,-110.0,-110.0,12.0,2.0,,0.85714287,11.0,342.0,261.0,,,81.0,10.0,4.0,,0.71428573,5.0,376.0,292.0,,,84.0
NFL,americanfootball_nfl,a03f89d3aaadf737deb09be24986d5bf,2025-12-21T21:25:00+00:00,2025-12-21T15:25:00-06:00,Sun Dec 21 • 03:25 PM,Detroit Lions,Pittsburgh Steelers,-320.0,275.0,0.7335423197492164,0.26645768025078376,-7.0,-103.0,7.0,-105.0,52.0,-110.0,-104.0,8.0,6.0,,0.5714286,-1.0,428.0,345.0,,,83.0,8.0,6.0,,0.5714286,2.0,336.0,326.0,,,10.0
NFL,americanfootball_nfl,47a54fb60f7b79179bc80e18a7c5de81,2025-12-21T21:25:00+00:00,2025-12-21T15:25:00-06:00,Sun Dec 21 • 03:25 PM,Houston Texans,Las Vegas Raiders,-1000.0,1000.0,0.8835092828540226,0.11649071714597745,-14.0,-105.0,14.0,-105.0,38.5,-104.0,-110.0,9.0,5.0,,0.64285713,6.0,323.0,228.0,,,95.0,2.0,12.0,,0.14285715,-8.0,196.0,363.0,,,-167.0
NFL,americanfootball_nfl,a0476b027679a1670f21e8b75a860ab9,2025-12-22T01:20:00+00:00,2025-12-21T19:20:00-06:00,Sun Dec 21 • 07:20 PM,Baltimore Ravens,New England Patriots,-150.0,135.0,0.5829926410466066,0.4170073589533933,-3.0,100.0,3.0,-108.0,48.0,-109.0,-105.0,7.0,7.0,,0.5,1.0,335.0,320.0,,,15.0,11.0,3.0,,0.78571427,-1.0,382.0,276.0,,,106.0
NFL,americanfootball_nfl,2dd4521ee298fa2c6f0ab009c182aae9,2025-12-23T01:15:00+00:00,2025-12-22T19:15:00-06:00,Mon Dec 22 • 07:15 PM,Indianapolis Colts,San Francisco 49ers,245.0,-275.0,0.29141104294478526,0.7085889570552146,6.0,-105.0,-6.0,-105.0,46.5,-102.0,-105.0,8.0,6.0,,0.5714286,-4.0,392.0,303.0,,,89.0,10.0,4.0,,0.71428573,4.0,344.0,293.0,,,51.0
